freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5805,-102,93,80,380,13,11,59
5805,-102,65,79,381,12,8,57
5805,-102,75,81,380,11,10,59
5805,-102,46,79,381,13,7,56
5805,-102,58,81,380,11,10,58
5805,-102,50,78,382,14,9,57
5805,-102,96,81,380,13,9,60
5805,-102,99,80,381,12,7,59
5805,-102,89,78,383,13,10,58
5805,-102,103,81,380,12,11,59
5805,-102,82,79,382,11,8,56
5805,-102,76,81,380,12,11,59
5805,-102,91,81,380,13,11,59
5805,-102,56,80,381,12,9,57
5805,-102,34,81,380,11,10,59
5805,-102,25,77,383,12,10,56
5805,-102,81,81,380,11,9,60
5805,-102,97,81,380,13,10,59
5805,-102,105,81,380,10,9,59
5805,-102,113,81,380,11,9,59
5805,-102,80,78,382,12,10,58
5805,-102,111,81,380,13,8,59
5805,-102,78,79,382,11,10,59
5805,-102,61,81,380,12,7,58
5805,-102,72,81,380,12,9,59
5805,-102,36,80,380,12,11,57
5805,-102,46,81,380,12,12,59
5805,-102,72,81,380,13,9,58
5805,-102,96,80,381,13,10,58
5805,-102,110,80,380,12,10,59
5805,-102,96,79,381,13,9,58
5805,-102,123,81,380,13,8,59
5805,-102,89,81,380,13,8,58
5805,-102,93,80,381,13,10,59
5805,-102,86,81,380,14,9,59
5805,-102,40,80,380,12,10,58
5805,-102,35,81,380,13,11,58
5805,-102,54,80,380,13,9,57
5805,-102,80,79,381,12,10,59
5805,-102,95,80,380,12,10,59
5805,-102,125,81,380,14,11,60
5805,-102,86,78,383,15,10,58
5805,-102,98,79,381,13,11,59
5805,-102,106,79,382,14,10,58
5805,-102,82,81,380,12,8,59
5805,-102,65,80,381,13,10,58
5805,-102,47,79,382,11,10,57
5805,-102,41,79,382,14,11,58
5805,-102,31,77,384,13,10,54
5805,-102,60,79,382,13,11,57
5805,-102,75,81,380,13,8,58
5805,-102,105,81,380,12,8,58
5805,-102,137,81,380,12,11,59
5805,-102,105,78,382,12,10,57
5805,-102,104,81,380,13,10,59
5805,-102,86,80,380,12,8,58
5805,-102,80,81,380,11,9,58
5805,-102,51,80,380,12,8,57
5805,-102,50,81,380,12,7,57
5805,-102,78,81,380,13,9,58
5805,-102,70,80,380,13,9,58
5805,-102,91,81,380,11,10,58
5805,-102,105,81,380,11,10,59
5805,-102,114,81,380,12,8,59
5805,-102,78,79,381,13,12,57
5805,-102,100,81,380,12,9,58
5805,-102,99,81,380,13,9,59
5805,-102,114,81,380,11,9,58
5805,-102,60,80,380,13,10,57
5805,-102,35,81,380,13,9,57
5805,-102,61,80,380,13,9,57
5805,-102,62,81,380,13,10,59
5805,-102,97,80,380,12,9,58
5805,-102,99,80,380,12,8,58
5805,-102,122,81,380,11,8,58
5805,-102,107,81,380,12,11,60
5805,-102,100,80,381,12,10,59
5805,-102,90,81,380,10,11,59
5805,-102,79,81,380,10,9,59
5805,-102,59,81,380,12,11,60
5805,-102,56,81,380,10,10,58
5805,-102,35,80,380,11,9,57
5805,-102,66,80,380,13,10,58
5805,-102,74,81,380,13,11,59
5805,-102,110,81,380,10,9,59
5805,-102,112,81,380,12,8,59
5805,-102,123,81,380,14,11,60
5805,-102,119,81,380,11,11,59
5805,-102,87,80,381,15,10,59
5805,-102,69,81,380,13,11,59
5805,-102,49,81,380,11,8,57
5805,-102,39,80,380,12,8,57
5805,-102,35,81,380,14,7,57
5805,-102,58,81,379,13,10,58
5805,-102,103,81,379,10,9,59
5805,-102,103,80,380,11,9,58
5805,-102,98,79,382,12,7,55
5805,-102,106,80,380,13,10,58
5805,-102,81,79,381,15,9,57
5805,-102,90,81,379,11,12,60
5805,-102,78,81,380,13,9,58
5805,-102,49,81,380,12,9,58
5805,-102,67,81,379,13,11,60
5805,-102,60,80,380,13,10,58
5805,-102,61,81,380,12,9,57
5805,-102,75,81,379,13,10,59
5805,-102,109,81,379,11,10,58
5805,-102,108,81,379,13,9,58
5805,-102,133,81,379,13,11,60
5805,-102,112,81,379,13,13,60
5805,-102,84,81,379,11,9,59
5805,-102,76,81,380,13,10,58
5805,-102,64,79,381,11,10,57
5805,-102,37,79,381,13,11,57
5805,-102,62,81,379,11,8,58
5805,-102,79,81,379,11,10,59
5805,-102,64,79,381,11,8,56
5805,-102,117,81,379,13,11,59
5805,-102,120,81,380,9,9,58
5805,-102,120,81,379,12,10,59
5805,-102,84,78,382,15,8,56
5805,-102,89,81,379,10,9,59
5805,-102,81,81,379,11,8,58
5805,-102,35,81,379,11,10,59
5805,-102,35,81,380,13,8,58
5805,-102,47,81,379,11,10,58
5805,-102,72,81,379,10,11,59
5805,-102,87,80,380,11,9,57
5805,-102,88,79,381,12,8,57
5805,-102,150,81,379,11,8,58
5805,-102,102,80,381,13,9,58
5805,-102,113,81,379,13,8,59
5805,-102,88,81,379,13,8,58
5805,-102,62,81,380,12,10,57
5805,-102,57,81,379,11,11,59
5805,-102,69,81,379,13,9,58
5805,-102,40,80,381,12,10,56
5805,-102,67,80,380,12,10,58
5805,-102,73,81,379,12,9,58
5805,-102,92,81,379,13,12,60
5805,-102,91,81,380,13,8,57
5805,-102,126,81,379,10,11,59
5805,-102,129,81,379,12,9,59
5805,-102,118,81,379,13,9,59
5805,-102,83,81,379,11,10,57
5805,-102,41,81,380,11,9,57
5805,-102,87,81,379,13,11,59
5805,-102,36,79,382,13,9,54
5805,-102,61,80,381,13,9,57
5805,-102,88,81,379,13,11,59
5805,-102,95,81,379,11,9,59
5805,-102,127,81,379,11,10,59
5805,-102,136,81,379,12,12,59
5805,-102,118,81,379,12,10,60
5805,-102,81,81,380,14,13,59
5805,-102,71,81,379,12,10,58
5805,-102,55,80,380,14,8,58
5805,-102,61,81,379,13,8,58
5805,-102,73,81,379,11,9,58
5805,-102,37,80,381,13,8,57
5805,-102,84,81,379,12,11,60
5805,-102,112,81,379,12,12,60
5805,-102,117,81,380,11,8,57
5805,-102,107,81,379,13,10,59
5805,-102,92,81,380,12,12,59
5805,-102,85,80,380,11,10,58
5805,-102,78,81,379,13,8,59
5805,-102,51,80,380,13,10,57
5805,-102,46,79,381,13,8,57
5805,-102,61,81,380,11,10,59
5805,-102,84,81,379,12,11,60
5805,-102,70,80,381,13,8,57
5805,-102,88,81,380,12,10,59
5805,-102,98,80,380,12,9,58
5805,-102,91,80,381,12,10,58
5805,-102,117,81,379,13,12,60
5805,-102,73,80,381,13,11,59
5805,-102,68,80,380,10,11,59
5805,-102,65,81,379,13,11,60
5805,-102,48,79,381,13,9,57
5805,-102,56,81,380,14,10,59
5805,-102,77,80,380,12,10,59
5805,-102,64,79,382,12,8,56
5805,-102,92,81,379,13,10,60
5805,-102,82,80,380,13,11,59
5805,-102,99,79,381,11,10,59
5805,-102,90,81,379,13,11,60
5805,-102,88,80,381,13,9,57
5805,-102,65,79,381,11,9,57
5805,-102,49,79,382,12,10,57
5805,-102,50,80,381,12,9,58
5805,-102,41,80,380,12,8,59
5805,-102,60,81,379,9,6,58
5805,-102,80,81,379,11,8,60
5805,-102,101,79,381,14,10,58
5805,-102,91,79,381,11,10,58
5805,-102,107,81,380,11,9,59
5805,-102,90,80,381,12,9,58
5805,-102,98,81,380,12,10,59
5805,-102,71,79,381,14,10,57
5805,-102,84,81,380,13,9,59
5805,-102,60,79,382,13,9,58
5805,-102,34,79,381,12,10,57
5805,-102,63,80,380,11,9,57
5805,-102,59,78,382,13,10,57
5805,-102,105,81,380,10,11,60
5805,-102,97,80,380,12,10,59
5805,-102,107,81,380,10,9,59
5805,-102,90,79,381,13,10,56
5805,-102,118,81,380,12,11,60
5805,-102,84,81,380,11,11,58
5805,-102,52,79,381,11,11,57
5805,-102,32,80,380,13,11,57
5805,-102,45,81,380,11,10,58
5805,-102,61,80,381,11,11,58
5805,-102,98,81,380,10,10,58
5805,-102,121,81,380,13,10,59
5805,-102,105,80,381,11,7,58
5805,-102,134,81,380,13,11,59
5805,-102,115,81,380,12,10,59
5805,-102,115,81,380,9,12,60
5805,-102,86,81,380,11,11,59
5805,-102,53,79,382,13,9,57
5805,-102,57,81,380,11,9,59
5805,-102,48,81,380,12,10,58
5805,-102,49,81,380,10,10,58
5805,-102,78,81,380,12,9,58
5805,-102,77,79,381,12,8,55
5805,-102,131,81,380,13,10,59
5805,-102,117,81,380,10,8,58
5805,-102,110,81,380,11,9,59
5805,-102,108,80,381,13,9,58
5805,-102,86,81,380,14,9,58
5805,-102,70,80,380,13,10,58
5805,-102,52,81,380,11,10,58
5805,-102,33,80,380,12,9,56
5805,-102,59,81,380,13,12,60
5805,-102,59,80,381,13,11,59
5805,-102,106,81,380,11,10,59
5805,-102,110,81,380,12,8,59
5805,-102,90,81,379,14,9,57
5805,-102,107,82,378,13,10,60
5805,-102,114,84,376,11,10,61
5805,-102,69,80,380,12,9,57
5805,-102,66,82,378,12,10,59
5805,-102,65,82,378,11,9,58
5805,-102,67,83,378,12,10,59
5805,-102,46,81,380,11,9,57
5805,-102,78,82,378,11,10,58
5805,-102,106,83,377,11,10,61
5805,-102,137,85,376,11,10,63
5805,-102,115,81,380,11,9,58
5805,-102,89,82,379,12,10,58
5805,-102,89,81,380,9,10,57
5805,-102,89,83,378,12,10,60
5805,-102,88,83,377,10,8,59
5805,-102,66,83,377,12,9,59
5805,-102,81,82,379,11,9,58
5805,-102,72,83,378,12,9,59
5805,-102,59,79,382,12,8,55
5805,-102,93,83,378,11,8,59
5805,-102,115,84,376,10,10,60
5805,-102,105,82,379,12,9,59
5805,-102,97,82,378,12,9,58
5805,-102,96,82,378,11,6,58
5805,-102,64,82,379,11,8,58
5805,-102,59,81,379,11,10,57
5805,-102,52,81,380,13,10,56
5805,-102,67,83,377,12,9,58
5805,-102,75,83,378,11,9,59
5805,-102,67,82,379,12,7,56
5805,-102,99,84,376,12,8,60
5805,-102,95,83,377,13,10,59
5805,-102,99,83,378,10,9,59
5805,-102,90,82,378,12,10,58
5805,-102,86,82,378,12,12,59
5805,-102,121,83,377,12,11,60
5805,-102,78,83,378,11,10,59
5805,-102,80,84,377,12,10,59
5805,-102,56,84,377,12,9,59
5805,-102,77,81,380,11,9,56
5805,-102,80,84,377,11,9,60
5805,-102,80,83,378,12,9,59
5805,-102,96,82,378,12,10,58
5805,-102,109,84,376,12,10,60
5180,-102,17,71,390,13,11,53
5180,-102,29,71,390,15,9,57
5180,-102,53,79,382,9,8,61
5180,-102,42,77,384,10,9,59
5180,-102,46,78,383,10,9,60
5180,-102,38,76,384,11,7,57
5180,-102,82,78,383,10,10,63
5180,-102,26,76,384,12,8,58
5180,-102,59,78,383,9,8,61
5180,-102,51,73,387,12,10,58
5180,-102,39,76,385,10,7,57
5180,-102,37,77,384,10,10,59
5180,-102,26,75,385,11,9,57
5180,-102,52,78,383,9,9,61
5180,-102,33,77,384,12,9,58
5180,-102,35,76,385,12,10,59
5180,-102,59,77,383,9,11,61
5180,-102,28,75,386,11,8,57
5180,-102,28,72,388,13,8,55
5180,-102,70,77,383,11,9,62
5180,-102,46,77,384,11,9,59
5180,-102,44,76,384,13,8,58
5180,-102,38,77,384,10,10,58
5180,-102,33,77,384,9,8,59
5180,-102,30,75,385,12,8,56
5180,-102,68,78,383,10,10,62
5180,-102,62,76,384,10,10,60
5180,-102,32,76,384,10,10,58
5180,-102,33,76,384,10,8,57
5180,-102,45,76,384,10,6,59
5180,-102,44,76,384,11,9,58
5180,-102,35,77,383,9,9,60
5180,-102,38,77,384,11,11,59
5180,-102,53,76,384,10,9,60
5180,-102,54,78,383,10,9,60
5180,-102,39,76,384,11,9,59
5180,-102,49,75,386,11,11,59
5180,-102,29,75,385,11,8,56
5180,-102,39,77,383,9,10,59
5180,-102,46,78,383,10,7,60
5180,-102,33,75,386,12,9,57
5180,-102,43,77,384,10,9,59
5180,-102,50,76,384,10,9,59
5180,-102,32,75,386,12,10,57
5180,-102,33,75,386,13,8,57
5180,-102,42,77,383,10,8,58
5180,-102,16,71,389,16,9,53
5180,-102,36,76,384,10,6,57
5180,-102,37,75,385,10,9,58
5180,-102,40,76,384,10,8,59
5180,-102,32,76,385,11,8,58
5180,-102,35,77,384,11,10,59
5180,-102,58,77,384,11,9,61
5180,-102,43,78,383,10,11,61
5180,-102,22,73,387,12,10,55
5180,-102,36,77,383,10,10,59
5180,-102,45,78,382,9,9,61
5180,-102,46,76,385,11,8,58
5180,-102,36,76,384,11,10,58
5180,-102,75,77,383,11,9,60
5180,-102,34,77,384,11,7,57
5180,-102,33,77,384,11,10,59
5180,-102,72,77,384,11,11,62
5180,-102,42,77,384,11,8,58
5180,-102,31,77,384,10,8,59
5180,-102,43,75,385,12,10,60
5180,-102,22,72,388,13,10,53
5180,-102,46,78,382,8,9,60
5180,-102,31,76,385,11,9,58
5180,-102,56,79,382,9,10,62
5180,-102,36,78,383,11,8,59
5180,-102,31,76,385,11,10,58
5180,-102,53,77,383,10,8,60
5180,-102,39,76,384,11,7,59
5180,-102,28,75,385,11,9,56
5180,-102,61,76,384,9,13,60
5180,-102,42,76,385,11,11,58
5180,-102,38,77,384,10,9,58
5180,-102,30,75,385,11,9,57
5180,-102,35,74,387,13,9,56
5180,-102,32,75,386,12,9,57
5180,-102,43,76,384,11,8,59
5180,-102,56,77,383,9,6,59
5180,-102,33,75,385,11,8,57
5180,-102,32,75,386,12,10,57
5180,-102,51,76,385,11,10,60
5180,-102,33,76,385,12,9,57
5180,-102,33,76,384,10,10,57
5180,-102,58,79,381,9,6,61
5180,-102,34,73,388,14,7,57
5180,-102,51,76,384,11,8,59
5180,-102,35,76,384,9,7,59
5180,-102,31,74,386,11,9,55
5180,-102,45,77,383,10,7,59
5180,-102,50,78,383,10,8,60
5180,-102,42,76,384,13,9,58
5180,-102,27,74,386,12,7,55
5180,-102,36,77,384,10,8,58
5180,-102,64,76,384,11,8,59
5180,-102,30,76,384,11,8,57
5180,-102,46,76,385,11,10,58
5180,-102,64,78,383,10,9,62
5180,-102,43,77,384,11,9,58
5180,-102,43,78,383,9,11,61
5180,-102,39,76,385,10,9,57
5180,-102,45,76,385,12,12,60
5180,-102,37,77,384,10,10,59
5180,-102,40,76,384,12,9,58
5180,-102,31,75,386,12,9,57
5180,-102,31,77,384,11,9,58
5180,-102,52,79,382,10,9,61
5180,-102,51,75,386,11,9,59
5180,-102,53,78,383,10,9,60
5180,-102,28,74,386,11,10,57
5180,-102,37,76,385,11,9,59
5180,-102,36,77,384,10,8,58
5180,-102,34,76,385,11,11,59
5180,-102,31,75,386,12,9,57
5180,-102,29,75,385,11,9,57
5180,-102,38,76,385,11,8,58
5180,-102,29,75,385,11,9,57
5180,-102,39,75,385,12,7,57
5180,-102,35,77,384,9,11,59
5180,-102,48,77,383,11,8,59
5180,-102,44,77,384,10,9,59
5180,-102,27,74,386,13,9,57
5180,-102,49,78,382,10,9,61
5180,-102,42,75,385,10,10,58
5180,-102,35,76,384,11,10,58
5180,-102,24,74,387,13,7,56
5180,-102,42,77,383,10,8,59
5180,-102,50,76,385,11,8,58
5180,-102,54,77,384,8,10,59
5180,-102,41,76,385,12,10,58
5180,-102,34,75,385,11,9,57
5180,-102,40,78,383,9,9,60
5180,-102,36,76,385,12,9,58
5180,-102,29,75,385,12,8,57
5180,-102,37,76,385,11,8,59
5180,-102,37,76,384,11,8,58
5180,-102,40,76,384,12,7,59
5180,-102,42,77,384,10,10,59
5180,-102,36,76,384,11,9,57
5180,-102,58,79,381,8,11,63
5180,-102,22,72,388,12,8,54
5180,-102,44,74,386,13,10,60
5180,-102,43,75,386,11,10,57
5180,-102,31,74,387,13,11,58
5180,-102,48,77,383,10,9,60
5180,-102,41,75,385,11,7,58
5180,-102,40,76,385,11,10,58
5180,-102,35,76,385,12,10,58
5180,-102,38,77,383,10,10,59
5180,-102,78,77,383,9,10,63
5180,-102,42,78,382,10,6,60
5180,-102,40,77,384,9,7,58
5180,-102,43,76,385,10,10,60
5180,-102,50,75,386,12,10,59
5180,-102,34,77,383,9,7,57
5180,-102,27,76,385,12,9,58
5180,-102,33,75,386,12,9,57
5180,-102,36,75,385,10,10,57
5180,-102,54,78,383,8,9,61
5180,-102,50,76,384,12,7,60
5180,-102,41,78,383,9,9,60
5180,-102,43,76,385,11,11,59
5180,-102,79,76,385,11,10,61
5180,-102,28,76,385,11,10,58
5180,-102,35,76,384,10,9,58
5180,-102,24,71,389,16,5,53
5180,-102,41,77,384,11,9,59
5180,-102,55,76,385,10,9,59
5180,-102,39,75,385,11,8,57
5180,-102,30,76,384,12,6,57
5180,-102,50,77,383,10,9,59
5180,-102,44,78,383,11,8,61
5180,-102,52,76,384,11,12,62
5180,-102,45,76,385,12,8,59
5180,-102,50,77,384,11,7,59
5180,-102,57,76,384,12,7,60
5180,-102,42,78,383,10,9,60
5180,-102,37,77,384,9,10,59
5180,-102,52,79,381,8,9,61
5180,-102,52,77,383,11,7,61
5180,-102,34,78,383,10,8,59
5180,-102,45,77,383,10,8,61
5180,-102,53,75,385,11,11,60
5180,-102,33,77,384,10,8,58
5180,-102,38,77,383,10,10,60
5180,-102,34,78,383,10,8,59
5180,-102,32,78,383,10,7,59
5180,-102,34,75,385,10,10,58
5180,-102,36,77,384,11,8,58
5180,-102,29,75,385,11,8,58
5180,-102,51,79,382,9,9,61
5180,-102,31,75,385,11,11,57
5180,-102,64,78,383,10,12,63
5180,-102,34,76,384,9,9,59
5180,-102,34,77,384,11,10,59
5180,-102,46,76,384,11,9,60
5180,-102,44,76,385,11,7,57
5180,-102,36,74,386,12,8,56
5180,-102,48,79,381,8,9,61
5180,-102,47,79,382,8,8,62
5180,-102,41,76,384,11,11,58
5180,-102,36,76,384,10,10,58
5180,-102,46,75,386,12,10,59
5180,-102,30,75,386,12,10,58
5180,-102,35,76,385,12,9,58
5180,-102,41,76,384,10,10,60
